PUID,SOLUTION
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,1
12,0
13,0
14,0
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
74,0
75,0
76,0
78,0
81,0
82,0
83,0
84,0
85,0
86,0
89,0
91,1
96,0
97,0
98,1
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,1
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
123,0
124,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,0
140,0
143,0
152,1
153,1
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
179,0
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
194,0
195,0
198,0
199,0
200,0
201,0
203,0
204,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
