"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,1.24747,0.597469,34,65,474,52,65,357,0.109705,0,0,0,1
2,1.24671,0.746712,32,50,474,53,50,371,0.111814,0,0,0,1
3,1.2637,0.663702,31,60,474,47,60,367,0.0991561,0,0,0,1
4,1.2637,0.663702,32,60,474,50,60,364,0.105485,0,0,0,1
5,1.2637,0.663702,30,60,474,45,60,369,0.0949367,0,0,0,1
6,1.28086,0.760864,32,52,474,50,52,372,0.105485,0,0,0,1
7,1.2637,0.663702,30,60,474,46,60,368,0.0970464,0,0,0,1
8,1.27086,0.760864,31,51,474,50,51,373,0.105485,0,0,0,1
9,1.25747,0.597469,34,66,474,54,66,354,0.113924,0,0,0,1
10,1.2637,0.663702,30,60,474,47,60,367,0.0991561,1.87476e-14,2.22045e-15,1,1
11,1.26162,0.611621,32,65,474,50,65,359,0.105485,1.42482e-13,1.68754e-14,1,1
12,1.37332,0.803324,31,57,474,46,57,371,0.0970464,0,0,0,1
13,1.2637,0.663702,30,60,474,47,60,367,0.0991561,5.24932e-14,6.21725e-15,1,1
14,1.26501,0.555009,35,71,474,55,71,348,0.116034,0,0,0,1
15,1.27086,0.760864,32,51,474,52,51,371,0.109705,0,0,0,1
16,1.2637,0.663702,30,60,474,47,60,367,0.0991561,0,0,0,1
17,1.23671,0.746712,30,49,474,49,49,376,0.103376,6.1867e-14,7.32747e-15,1,1
18,1.24671,0.746712,32,50,474,53,50,371,0.111814,0,0,0,1
19,1.37332,0.803324,31,57,474,48,57,369,0.101266,0,0,0,1
20,1.2637,0.663702,30,60,474,45,60,369,0.0949367,3.74951e-15,4.44089e-16,1,1
21,1.37332,0.803324,31,57,474,50,57,367,0.105485,0,0,0,1
22,1.27086,0.760864,32,51,474,51,51,372,0.107595,0,0,0,1
23,1.56036,0.990356,32,57,474,50,57,367,0.105485,0,0,0,1
24,1.35412,0.764119,31,59,474,47,59,368,0.0991561,0,0,0,1
25,1.25501,0.555009,33,70,474,50,70,354,0.105485,0,0,0,1
26,1.25501,0.555009,33,70,474,51,70,353,0.107595,0,0,0,1
27,1.40748,0.817476,33,59,474,51,59,364,0.107595,0,0,0,1
28,1.2637,0.663702,30,60,474,47,60,367,0.0991561,0,0,0,1
29,1.27086,0.760864,32,51,474,51,51,372,0.107595,0,0,0,1
30,1.55036,0.990356,30,56,474,46,56,372,0.0970464,0,0,0,1
31,1.27916,0.569161,33,71,474,49,71,354,0.103376,0,0,0,1
32,1.26162,0.611621,34,65,474,53,65,356,0.111814,0,0,0,1
33,1.27086,0.760864,30,51,474,48,51,375,0.101266,0,0,0,1
34,1.2637,0.663702,30,60,474,47,60,367,0.0991561,0,0,0,1
35,1.37332,0.803324,32,57,474,51,57,366,0.107595,0,0,0,1
36,1.27086,0.760864,32,51,474,51,51,372,0.107595,0,0,0,1
37,1.23671,0.746712,30,49,474,49,49,376,0.103376,0,0,0,1
38,1.36332,0.803324,30,56,474,47,56,371,0.0991561,0,0,0,1
39,1.2837,0.663702,29,62,474,45,62,367,0.0949367,0,0,0,1
40,1.24747,0.597469,32,65,474,49,65,360,0.103376,0,0,0,1
41,1.23671,0.746712,30,49,474,49,49,376,0.103376,0,0,0,1
42,1.24671,0.746712,31,50,474,50,50,374,0.105485,0,0,0,1
43,1.25501,0.555009,34,70,474,52,70,352,0.109705,0,0,0,1
44,1.23671,0.746712,31,49,474,50,49,375,0.105485,0,0,0,1
45,1.2637,0.663702,32,60,474,50,60,364,0.105485,0,0,0,1
46,1.2637,0.663702,30,60,474,47,60,367,0.0991561,0,0,0,1
47,1.24747,0.597469,34,65,474,52,65,357,0.109705,1.42482e-13,1.68754e-14,1,1
48,1.24671,0.746712,31,50,474,50,50,374,0.105485,0,0,0,1
49,1.26162,0.611621,34,65,474,53,65,356,0.111814,0,0,0,1
50,1.26162,0.611621,32,65,474,50,65,359,0.105485,0,0,0,1
51,1.36332,0.803324,31,56,474,50,56,368,0.105485,0,0,0,1
52,1.27086,0.760864,31,51,474,49,51,374,0.103376,0,0,0,1
53,1.23671,0.746712,32,49,474,52,49,373,0.109705,0,0,0,1
54,1.2637,0.663702,31,60,474,48,60,366,0.101266,0,0,0,1
55,1.28981,0.569814,34,72,474,50,72,352,0.105485,0,0,0,1
56,1.2637,0.663702,29,60,474,44,60,370,0.092827,0,0,0,1
57,1.36332,0.803324,31,56,474,48,56,370,0.101266,0,0,0,1
58,1.23671,0.746712,32,49,474,52,49,373,0.109705,1.83726e-13,2.17604e-14,1,1
59,1.26577,0.625773,35,64,474,55,64,355,0.116034,0,0,0,1
60,1.24671,0.746712,31,50,474,52,50,372,0.109705,1.42482e-13,1.68754e-14,1,1
