"planning_unit","number"
217,3
216,0
215,1
214,0
213,0
212,0
211,0
210,0
209,0
208,1
207,0
204,0
203,0
201,0
200,0
199,0
198,0
195,0
194,5
192,91
191,0
190,100
189,0
188,0
187,0
186,0
185,0
184,0
183,96
182,100
181,100
179,96
177,100
176,100
175,100
174,100
173,100
172,72
171,0
170,1
169,10
168,100
167,100
166,100
165,100
164,100
163,100
162,100
161,100
160,100
159,100
158,31
157,24
156,31
155,31
153,100
152,100
143,35
140,0
135,35
134,35
133,100
132,100
131,100
130,35
129,35
128,31
127,5
126,5
124,2
123,1
121,0
120,1
119,5
118,5
117,5
116,5
115,31
114,31
113,35
112,100
109,74
108,48
107,31
106,5
105,5
104,5
103,5
102,5
101,84
100,0
99,0
98,82
97,5
96,5
91,100
89,4
86,0
85,0
84,0
83,0
82,0
81,0
78,0
76,0
75,0
74,0
71,0
70,0
69,0
68,0
67,0
66,0
65,0
64,0
63,0
62,0
61,0
60,0
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,0
51,0
50,0
49,0
48,0
47,0
46,0
45,0
44,0
43,0
42,0
41,0
40,0
39,0
38,0
37,0
36,0
35,0
34,0
33,0
32,0
31,1
30,25
29,0
28,0
26,0
25,0
24,0
23,0
22,0
21,0
20,0
19,7
18,28
17,0
16,0
14,73
13,0
12,0
11,0
10,0
9,8
8,0
7,0
6,0
5,73
4,0
3,0
2,15
1,0
