"planning_unit","number"
217,59
216,59
215,59
214,59
213,59
212,59
211,59
210,59
209,59
208,65
207,65
204,65
203,65
201,59
200,59
199,59
198,59
195,63
194,66
192,60
191,57
190,57
189,50
188,50
187,50
186,50
185,50
184,50
183,54
182,56
181,56
179,56
177,56
176,56
175,56
174,56
173,56
172,54
171,50
170,50
169,50
168,56
167,56
166,56
165,56
164,56
163,56
162,56
161,56
160,56
159,56
158,56
157,50
156,56
155,56
153,56
152,56
143,56
140,47
135,56
134,56
133,56
132,56
131,56
130,56
129,56
128,56
127,56
126,56
124,47
123,47
121,47
120,47
119,47
118,47
117,56
116,56
115,56
114,56
113,56
112,56
109,56
108,56
107,56
106,56
105,56
104,56
103,47
102,47
101,47
100,47
99,47
98,47
97,47
96,47
91,78
89,71
86,47
85,47
84,47
83,47
82,47
81,47
78,49
76,49
75,49
74,52
71,59
70,59
69,59
68,65
67,49
66,49
65,47
64,47
63,47
62,59
61,59
60,48
59,47
58,47
57,47
56,47
55,47
54,47
53,50
52,50
51,50
50,50
49,47
48,47
47,47
46,47
45,47
44,47
43,50
42,50
41,50
40,50
39,50
38,50
37,47
36,47
35,47
34,47
33,50
32,50
31,50
30,50
29,50
28,46
26,47
25,47
24,47
23,47
22,46
21,46
20,46
19,49
18,49
17,49
16,49
14,47
13,49
12,49
11,49
10,49
9,49
8,49
7,49
6,49
5,49
4,49
3,49
2,70
1,71
