"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,11031.2,31.171,78,11,474,203,11,260,0.42827,0,0,0,1
2,6084.7,84.7047,96,6,474,254,6,214,0.535865,0,0,0,1
3,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
4,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
5,9085.87,85.8676,123,9,474,338,9,127,0.71308,0,0,0,1
6,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
7,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
8,9010.04,10.0362,35,9,474,79,9,386,0.166667,0,0,0,1
9,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
10,8009.85,9.84788,6,8,474,3,8,463,0.00632911,0,0,0,1
11,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
12,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
13,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
14,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
15,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
16,6084.7,84.7047,96,6,474,254,6,214,0.535865,0,0,0,1
17,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
18,8003.05,3.05497,6,8,474,3,8,463,0.00632911,0,0,0,1
19,6025.42,25.4151,80,6,474,214,6,254,0.451477,0,0,0,1
20,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
21,7040.04,40.0411,99,7,474,262,7,205,0.552743,0,0,0,1
22,8017.69,17.6886,42,8,474,103,8,363,0.2173,0,0,0,1
23,8017.69,17.6886,42,8,474,103,8,363,0.2173,0,0,0,1
24,11010.5,10.5034,23,11,474,51,11,412,0.107595,0,0,0,1
25,8018.86,18.863,27,8,474,56,8,410,0.118143,0,0,0,1
26,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
27,8028.79,28.7862,9,8,474,12,8,454,0.0253165,0,0,0,1
28,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
29,6025.42,25.4151,80,6,474,214,6,254,0.451477,0,0,0,1
30,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
31,8017.69,17.6886,42,8,474,103,8,363,0.2173,0,0,0,1
32,9006.61,6.60876,29,9,474,66,9,399,0.139241,0,0,0,1
33,10024.7,24.6622,54,10,474,127,10,337,0.267932,0,0,0,1
34,8006.52,6.52331,12,8,474,16,8,450,0.0337553,0,0,0,1
35,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
36,9010.04,10.0362,35,9,474,79,9,386,0.166667,0,0,0,1
37,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
38,7005.42,5.41909,10,7,474,12,7,455,0.0253165,0,0,0,1
39,8003.05,3.05497,6,8,474,3,8,463,0.00632911,0,0,0,1
40,6025.42,25.4151,80,6,474,214,6,254,0.451477,0,0,0,1
41,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
42,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
43,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
44,9010.04,10.0362,35,9,474,79,9,386,0.166667,0,0,0,1
45,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
46,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
47,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
48,6084.7,84.7047,96,6,474,254,6,214,0.535865,0,0,0,1
49,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
50,8003.05,3.05497,6,8,474,3,8,463,0.00632911,0,0,0,1
51,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
52,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
53,9006.61,6.60876,29,9,474,66,9,399,0.139241,0,0,0,1
54,12094,94.0022,128,12,474,328,12,134,0.691983,0,0,0,1
55,8017.69,17.6886,42,8,474,103,8,363,0.2173,0,0,0,1
56,7005.42,5.41909,10,7,474,12,7,455,0.0253165,0,0,0,1
57,7070.08,70.0786,77,7,474,205,7,262,0.432489,0,0,0,1
58,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
59,10024.7,24.6622,54,10,474,127,10,337,0.267932,0,0,0,1
60,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
61,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
62,8028.79,28.7862,9,8,474,12,8,454,0.0253165,0,0,0,1
63,9010.04,10.0362,35,9,474,79,9,386,0.166667,0,0,0,1
64,12014.9,14.9322,19,12,474,42,12,420,0.0886076,0,0,0,1
65,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
66,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
67,8017.69,17.6886,42,8,474,103,8,363,0.2173,0,0,0,1
68,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
69,8100.49,100.494,142,8,474,387,8,79,0.816456,0,0,0,1
70,5107.06,107.057,153,5,474,413,5,56,0.871308,0,0,0,1
71,10011,11.0376,25,10,474,57,10,407,0.120253,0,0,0,1
72,16030.9,30.8808,68,16,474,162,16,296,0.341772,0,0,0,1
73,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
74,11031.2,31.171,78,11,474,203,11,260,0.42827,0,0,0,1
75,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
76,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
77,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
78,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
79,6084.7,84.7047,96,6,474,254,6,214,0.535865,0,0,0,1
80,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
81,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
82,9085.87,85.8676,123,9,474,338,9,127,0.71308,0,0,0,1
83,10024.7,24.6622,54,10,474,127,10,337,0.267932,0,0,0,1
84,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
85,10016.5,16.545,59,10,474,155,10,309,0.327004,0,0,0,1
86,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
87,8018.86,18.863,27,8,474,56,8,410,0.118143,0,0,0,1
88,11031.2,31.171,78,11,474,203,11,260,0.42827,0,0,0,1
89,9006.61,6.60876,29,9,474,66,9,399,0.139241,0,0,0,1
90,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
91,7040.04,40.0411,99,7,474,262,7,205,0.552743,0,0,0,1
92,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
93,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
94,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
95,3095.49,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
96,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
97,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
98,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
99,6016.5,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
100,11011.2,11.1587,25,11,474,56,11,407,0.118143,0,0,0,1
