"planning_unit","number"
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,0
209,0
208,9
207,9
204,9
203,9
201,0
200,0
199,0
198,0
195,9
194,21
192,64
191,48
190,84
189,63
188,63
187,58
186,58
185,63
184,63
183,77
182,80
181,80
179,71
177,80
176,80
175,80
174,80
173,80
172,77
171,60
170,58
169,59
168,80
167,80
166,80
165,80
164,86
163,80
162,80
161,80
160,80
159,80
158,80
157,43
156,80
155,80
153,80
152,80
143,57
140,0
135,57
134,57
133,57
132,57
131,57
130,57
129,57
128,53
127,53
126,53
124,26
123,26
121,11
120,26
119,26
118,26
117,53
116,53
115,53
114,57
113,57
112,57
109,57
108,57
107,57
106,53
105,53
104,53
103,26
102,26
101,26
100,11
99,11
98,23
97,26
96,26
91,68
89,56
86,11
85,11
84,11
83,11
82,11
81,11
78,0
76,0
75,0
74,0
71,1
70,0
69,0
68,0
67,0
66,0
65,0
64,0
63,0
62,0
61,0
60,0
59,0
58,0
57,0
56,11
55,0
54,0
53,57
52,57
51,57
50,57
49,0
48,0
47,11
46,11
45,11
44,0
43,38
42,55
41,57
40,56
39,38
38,38
37,11
36,11
35,11
34,11
33,42
32,42
31,42
30,44
29,42
28,19
26,11
25,11
24,11
23,11
22,19
21,19
20,20
19,31
18,31
17,31
16,31
14,13
13,32
12,32
11,31
10,31
9,31
8,31
7,32
6,32
5,34
4,32
3,32
2,36
1,36
