"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
2,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
3,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
4,28.6899,9.68988,51,19,474,113,19,342,0.238397,0,0,0,1
5,29.2634,6.26335,69,23,474,163,23,288,0.343882,0,0,0,1
6,26.0882,5.60406,61,19,474,154,19,301,0.324895,1.48411,0.0133333,1,0.991453
7,27.4939,7.49387,49,20,474,116,20,338,0.244726,0,0,0,1
8,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
9,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
10,28.6899,9.68988,52,19,474,115,19,340,0.242616,0,0,0,1
11,26.0882,5.60406,61,19,474,154,19,301,0.324895,1.48411,0.0133333,1,0.991453
12,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
13,30.692,5.69202,60,25,474,136,25,313,0.28692,0,0,0,1
14,26.0882,5.60406,61,19,474,154,19,301,0.324895,1.48411,0.0133333,1,0.991453
15,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
16,27.8588,5.85882,84,22,474,213,22,239,0.449367,0,0,0,1
17,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
18,25.7802,3.78019,64,22,474,153,22,299,0.322785,0,0,0,1
19,27.2853,7.2853,47,20,474,103,20,351,0.2173,0,0,0,1
20,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
21,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
22,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
23,29.5278,9.52776,59,20,474,148,20,306,0.312236,0,0,0,1
24,29.9234,8.92345,33,21,474,75,21,378,0.158228,0,0,0,1
25,29.2634,6.26335,69,23,474,163,23,288,0.343882,0,0,0,1
26,25.8866,6.88662,66,19,474,163,19,292,0.343882,0,0,0,1
27,29.3985,6.39846,68,23,474,158,23,293,0.333333,0,0,0,1
28,32.2447,8.24465,44,24,474,99,24,351,0.208861,0,0,0,1
29,25.7802,3.78019,64,22,474,153,22,299,0.322785,0,0,0,1
30,26.0882,5.60406,61,19,474,154,19,301,0.324895,1.48411,0.0133333,1,0.991453
31,21.9659,7.9659,52,14,474,136,14,324,0.28692,0,0,0,1
32,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
33,26.0882,5.60406,61,19,474,154,19,301,0.324895,1.48411,0.0133333,1,0.991453
34,29.2634,6.26335,69,23,474,163,23,288,0.343882,0,0,0,1
35,29.3865,7.38651,53,22,474,122,22,330,0.257384,0,0,0,1
36,27.8588,5.85882,84,22,474,213,22,239,0.449367,0,0,0,1
37,25.5592,8.55921,65,17,474,164,17,293,0.345992,0,0,0,1
38,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
39,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
40,21.9659,7.9659,52,14,474,136,14,324,0.28692,0,0,0,1
41,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
42,21.9846,12.9846,71,9,474,194,9,271,0.409283,0,0,0,1
43,25.7802,3.78019,64,22,474,153,22,299,0.322785,0,0,0,1
44,21.9846,12.9846,71,9,474,194,9,271,0.409283,0,0,0,1
45,25.5592,8.55921,65,17,474,164,17,293,0.345992,0,0,0,1
46,25.7802,3.78019,64,22,474,153,22,299,0.322785,0,0,0,1
47,31.4507,6.45069,66,25,474,153,25,296,0.322785,0,0,0,1
48,27.3264,7.32637,70,20,474,166,20,288,0.350211,0,0,0,1
49,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
50,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
51,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
52,25.5592,8.55921,65,17,474,164,17,293,0.345992,0,0,0,1
53,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
54,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
55,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
56,22.1667,14.1667,74,8,474,201,8,265,0.424051,0,0,0,1
57,21.9659,7.9659,52,14,474,136,14,324,0.28692,0,0,0,1
58,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
59,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
60,21.9846,12.9846,71,9,474,194,9,271,0.409283,0,0,0,1
61,26.0882,5.60406,61,19,474,154,19,301,0.324895,1.48411,0.0133333,1,0.991453
62,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
63,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
64,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
65,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
66,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
67,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
68,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
69,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
70,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
71,25.4164,7.41636,67,18,474,170,18,286,0.35865,0,0,0,1
72,27.0254,5.02537,67,22,474,162,22,290,0.341772,0,0,0,1
73,25.7802,3.78019,64,22,474,153,22,299,0.322785,0,0,0,1
74,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
