"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,7.41398,1.21398,420,62,2830,775,62,1993,0.273852,0,0,0,1
2,5.1845,0.284498,156,49,2830,272,49,2509,0.0961131,0,0,0,1
3,8.87773,1.57773,754,73,2830,1404,73,1353,0.496113,0,0,0,1
4,6.70191,1.30191,620,54,2830,1174,54,1602,0.414841,0,0,0,1
5,7.05792,0.357922,149,67,2830,248,67,2515,0.0876325,0,0,0,1
6,7.78359,0.883589,607,69,2830,1105,69,1656,0.390459,0,0,0,1
7,7.00013,0.400129,302,66,2830,537,66,2227,0.189753,0,0,0,1
8,5.82692,0.926923,202,49,2830,348,49,2433,0.122968,0,0,0,1
9,7.204,1.904,478,53,2830,857,53,1920,0.302827,0,0,0,1
10,5.25306,0.453058,303,48,2830,537,48,2245,0.189753,0,0,0,1
11,6.16862,0.268617,155,59,2830,256,59,2515,0.0904594,0,0,0,1
12,5.90026,0.400256,171,55,2830,291,55,2484,0.102827,0,0,0,1
13,9.86972,1.66972,779,82,2830,1452,82,1296,0.513074,0,0,0,1
14,5.57691,0.890676,236,46,2830,427,46,2357,0.150883,0.0862312,0.195833,1,0.996033
15,8.53008,0.530081,269,80,2830,463,80,2287,0.163604,0,0,0,1
16,4.65081,0.850811,408,38,2830,743,38,2049,0.262544,0,0,0,1
17,6.48895,0.788946,268,57,2830,465,57,2308,0.164311,0,0,0,1
18,6.74722,0.747219,237,60,2830,405,60,2365,0.14311,0,0,0,1
19,7.13062,1.13062,675,60,2830,1272,60,1498,0.44947,0,0,0,1
20,6.25649,0.656487,282,56,2830,506,56,2268,0.178799,0,0,0,1
21,7.88444,0.584436,314,73,2830,557,73,2200,0.19682,0,0,0,1
22,6.06631,0.866309,591,52,2830,1099,52,1679,0.388339,0,0,0,1
23,6.47763,0.277629,232,62,2830,390,62,2378,0.137809,0,0,0,1
24,10.3679,0.96789,445,94,2830,797,94,1939,0.281625,0,0,0,1
25,8.51312,1.14775,537,73,2830,983,73,1774,0.34735,0.0653777,0.0194444,1,0.998525
26,10.4316,1.53159,733,89,2830,1355,89,1386,0.478799,0,0,0,1
27,6.4604,0.760404,249,57,2830,428,57,2345,0.151237,0,0,0,1
28,7.07415,0.974153,389,61,2830,712,61,2057,0.25159,0,0,0,1
