"planning_unit","number"
1490,0
1489,0
1488,0
1487,0
1486,0
1485,0
1484,0
1483,0
1482,0
1481,0
1480,0
1479,0
1478,0
1477,0
1476,0
1475,0
1474,50
1473,0
1472,0
1471,0
1470,0
1469,0
1468,0
1467,0
1466,0
1465,0
1464,0
1463,0
1462,0
1461,0
1460,0
1459,0
1458,0
1457,0
1456,0
1455,0
1454,0
1453,0
1452,0
1451,0
1450,0
1449,0
1448,0
1447,0
1446,0
1445,0
1444,0
1443,0
1442,0
1441,0
1440,0
1439,0
1438,0
1437,0
1436,0
1435,0
1434,0
1433,0
1432,0
1431,0
1430,0
1429,0
1428,0
1427,0
1426,0
1425,0
1424,0
1423,0
1422,0
1421,0
1420,100
1419,100
1418,100
1417,100
1416,100
1415,100
1414,100
1413,0
1412,0
1411,0
1410,0
1409,0
1408,0
1407,0
1406,100
1405,99
1404,100
1403,100
1402,100
1401,100
1400,100
1399,0
1398,0
1397,0
1396,0
1395,0
1394,0
1393,0
1392,100
1391,100
1390,100
1389,100
1388,100
1387,100
1386,100
1385,0
1384,0
1383,0
1382,0
1381,100
1380,100
1379,100
1378,100
1377,100
1376,100
1375,100
1374,100
1373,100
1372,44
1371,0
1370,0
1369,0
1368,99
1367,100
1366,100
1365,100
1364,100
1363,100
1362,100
1361,100
1360,100
1359,46
1358,0
1357,0
1356,0
1355,33
1354,98
1353,100
1352,100
1351,100
1350,100
1349,100
1348,100
1347,100
1346,55
1345,0
1344,0
1343,0
1342,35
1341,90
1340,100
1339,100
1338,100
1337,100
1336,100
1335,100
1334,100
1333,40
1332,0
1331,0
1330,0
1329,26
1328,100
1327,100
1326,1
1325,10
1324,8
1323,5
1322,10
1321,100
1320,0
1319,0
1318,0
1317,0
1316,0
1315,100
1314,100
1313,2
1312,14
1311,16
1310,14
1309,13
1308,7
1307,0
1306,0
1305,0
1304,0
1303,0
1302,0
1301,14
1300,23
1299,41
1298,38
1297,45
1296,56
1295,36
1294,0
1293,0
1292,0
1291,0
1290,0
1289,0
1288,10
1287,14
1286,27
1285,25
1284,15
1283,52
1282,33
1281,0
1280,79
1279,0
1278,0
