"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,530006,6.37019,207,53,2830,367,53,2410,0.129682,0,0,0,1
2,890033,33.4789,980,89,2830,1826,89,915,0.64523,0,0,0,1
3,610031,31.4351,967,61,2830,1816,61,953,0.641696,0,0,0,1
4,550017,17.3776,539,55,2830,1005,55,1770,0.355124,0,0,0,1
5,580019,18.7498,370,58,2830,654,58,2118,0.231095,0,0,0,1
6,490017,16.6029,657,49,2830,1242,49,1539,0.438869,0,0,0,1
7,130040,40.3149,1109,13,2830,2100,13,717,0.742049,0,0,0,1
8,190037,36.582,1266,19,2830,2404,19,407,0.84947,0,0,0,1
9,370019,18.7044,460,37,2830,829,37,1964,0.292933,0,0,0,1
10,390030,30.054,576,39,2830,1056,39,1735,0.373145,0,0,0,1
11,130025,24.6809,1140,13,2830,2171,13,646,0.767138,0,0,0,1
12,570028,27.6794,855,57,2830,1605,57,1168,0.567138,0,0,0,1
13,630015,14.724,742,63,2830,1387,63,1380,0.490106,0,0,0,1
14,270021,20.7723,573,27,2830,1061,27,1742,0.374912,0,0,0,1
15,470026,26.1063,989,47,2830,1868,47,915,0.660071,0,0,0,1
16,550039,38.6591,1250,55,2830,2352,55,423,0.831095,0,0,0,1
17,410039,39.4186,1377,41,2830,2600,41,189,0.918728,0,0,0,1
18,330022,21.764,542,33,2830,998,33,1799,0.35265,0,0,0,1
19,760033,33.1572,1016,76,2830,1886,76,868,0.666431,0,0,0,1
20,230025,24.964,576,23,2830,1063,23,1744,0.375618,0,0,0,1
21,600004,4.31816,137,60,2830,216,60,2554,0.0763251,0,0,0,1
22,390030,30.3012,568,39,2830,1040,39,1751,0.367491,0,0,0,1
23,550005,5.4423,203,55,2830,362,55,2413,0.127915,0,0,0,1
24,270023,23.21,840,27,2830,1595,27,1208,0.563604,0,0,0,1
25,520037,37.3903,1194,52,2830,2239,52,539,0.791166,0,0,0,1
26,47.9366,47.9366,1490,0,2830,2830,0,0,1,0,0,0,1
27,450037,37.2933,974,45,2830,1803,45,982,0.637102,0,0,0,1
28,630028,28.0388,709,63,2830,1312,63,1455,0.463604,0,0,0,1
29,440038,38.1901,1161,44,2830,2170,44,616,0.766784,0,0,0,1
30,370016,16.2713,451,37,2830,824,37,1969,0.291166,0,0,0,1
31,250016,16.459,305,25,2830,553,25,2252,0.195406,0,0,0,1
32,500021,20.5528,788,50,2830,1490,50,1290,0.526502,0,0,0,1
33,620021,20.7601,593,62,2830,1072,62,1696,0.378799,0,0,0,1
34,680038,38.043,1139,68,2830,2125,68,637,0.750883,0,0,0,1
35,480026,26.1058,823,48,2830,1540,48,1242,0.54417,0,0,0,1
36,590016,15.6407,562,59,2830,1059,59,1712,0.374205,0,0,0,1
37,380007,6.6475,332,38,2830,599,38,2193,0.211661,0,0,0,1
38,580018,18.1551,397,58,2830,705,58,2067,0.249117,0,0,0,1
39,490025,25.1674,524,49,2830,950,49,1831,0.335689,0,0,0,1
40,380021,20.9397,449,38,2830,821,38,1971,0.290106,0,0,0,1
41,240040,39.5077,1019,24,2830,1909,24,897,0.674558,0,0,0,1
42,590011,11.0268,275,59,2830,479,59,2292,0.169258,0,0,0,1
43,420027,27.4767,988,42,2830,1856,42,932,0.65583,0,0,0,1
44,780012,12.3214,378,78,2830,670,78,2082,0.236749,0,0,0,1
45,450037,37.0891,1116,45,2830,2108,45,677,0.744876,0,0,0,1
46,320013,13.4784,286,32,2830,513,32,2285,0.181272,0,0,0,1
47,230030,30.0037,696,23,2830,1293,23,1514,0.45689,0,0,0,1
48,640020,20.4798,558,64,2830,1007,64,1759,0.35583,0,0,0,1
49,100024,23.6416,359,10,2830,660,10,2160,0.233216,0,0,0,1
50,770015,15.0725,385,77,2830,679,77,2074,0.239929,0,0,0,1
51,170043,42.9043,1398,17,2830,2655,17,158,0.938163,0,0,0,1
52,280031,30.5911,990,28,2830,1879,28,923,0.663958,0,0,0,1
53,620018,18.2331,369,62,2830,657,62,2111,0.232155,0,0,0,1
54,710014,14.4486,662,71,2830,1229,71,1530,0.434276,0,0,0,1
55,410020,19.8983,415,41,2830,768,41,2021,0.271378,0,0,0,1
56,360026,25.7818,893,36,2830,1687,36,1107,0.596113,0,0,0,1
57,410036,36.2831,884,41,2830,1662,41,1127,0.587279,0,0,0,1
58,120026,25.6065,1150,12,2830,2194,12,624,0.775265,0,0,0,1
59,640030,30.3066,1048,64,2830,1967,64,799,0.695053,0,0,0,1
60,440032,32.0485,852,44,2830,1599,44,1187,0.565018,0,0,0,1
61,420019,18.676,407,42,2830,741,42,2047,0.261837,0,0,0,1
62,320038,38.0288,1052,32,2830,1986,32,812,0.701767,0,0,0,1
63,440022,21.5565,443,44,2830,810,44,1976,0.286219,0,0,0,1
64,520029,29.3575,748,52,2830,1397,52,1381,0.49364,0,0,0,1
65,610035,34.6932,1151,61,2830,2150,61,619,0.759717,0,0,0,1
66,480017,17.3187,512,48,2830,950,48,1832,0.335689,0,0,0,1
67,440032,32.0906,1099,44,2830,2060,44,726,0.727915,0,0,0,1
68,220029,29.1253,1217,22,2830,2320,22,488,0.819788,0,0,0,1
69,370041,40.9221,1219,37,2830,2286,37,507,0.807774,0,0,0,1
70,480016,16.3026,929,48,2830,1763,48,1019,0.622968,0,0,0,1
71,130047,46.7608,1281,13,2830,2430,13,387,0.858657,0,0,0,1
72,820026,25.7964,836,82,2830,1549,82,1199,0.54735,0,0,0,1
73,130047,47.0231,1294,13,2830,2455,13,362,0.867491,0,0,0,1
74,450025,24.8686,640,45,2830,1192,45,1593,0.421201,0,0,0,1
75,580013,13.3175,263,58,2830,462,58,2310,0.163251,0,0,0,1
76,580016,15.519,698,58,2830,1301,58,1471,0.459717,0,0,0,1
77,430030,30.2995,580,43,2830,1074,43,1713,0.379505,0,0,0,1
78,540022,22.4754,508,54,2830,939,54,1837,0.331802,0,0,0,1
79,580022,21.8752,477,58,2830,865,58,1907,0.305654,0,0,0,1
80,720025,25.0167,871,72,2830,1615,72,1143,0.570671,0,0,0,1
81,880020,20.3583,504,88,2830,922,88,1820,0.325795,0,0,0,1
82,430034,33.5473,634,43,2830,1161,43,1626,0.410247,0,0,0,1
83,400033,32.8538,670,40,2830,1246,40,1544,0.440283,0,0,0,1
84,590030,30.2753,820,59,2830,1536,59,1235,0.542756,0,0,0,1
85,760024,24.3925,778,76,2830,1449,76,1305,0.512014,0,0,0,1
86,560018,17.5072,474,56,2830,876,56,1898,0.309541,0,0,0,1
87,660015,15.4279,572,66,2830,1042,66,1722,0.368198,0,0,0,1
88,230025,24.6095,563,23,2830,1038,23,1769,0.366784,0,0,0,1
89,360026,26.3185,950,36,2830,1803,36,991,0.637102,0,0,0,1
90,280018,18.2377,771,28,2830,1465,28,1337,0.517668,0,0,0,1
91,500021,21.1817,341,50,2830,611,50,2169,0.215901,0,0,0,1
92,240039,38.8485,1341,24,2830,2537,24,269,0.896466,0,0,0,1
93,370036,35.5474,1195,37,2830,2259,37,534,0.798233,0,0,0,1
94,380038,37.7998,1109,38,2830,2082,38,710,0.735689,0,0,0,1
95,560011,11.0001,298,56,2830,532,56,2242,0.187986,0,0,0,1
96,230035,34.9382,1283,23,2830,2434,23,373,0.860071,0,0,0,1
97,320033,32.8567,980,32,2830,1847,32,951,0.65265,0,0,0,1
98,230030,30.1075,683,23,2830,1268,23,1539,0.448057,0,0,0,1
99,190046,45.6506,1433,19,2830,2716,19,95,0.959717,0,0,0,1
100,450027,27.4066,840,45,2830,1569,45,1216,0.554417,0,0,0,1
