,effort,latitude,longitude,geometry,labels
0,1.2652572237127159e-09,9365000.0,514000.0,POINT (514000 9365000),1
1,1.2652572237127159e-09,9365000.0,514500.0,POINT (514500 9365000),2
2,1.2652572237127159e-09,9365000.0,515000.0,POINT (515000 9365000),3
3,1.2652572237127159e-09,9365000.0,515500.0,POINT (515500 9365000),4
4,1.2652572237127159e-09,9365000.0,516000.0,POINT (516000 9365000),5
5,5.683282034247754e-10,9365000.0,516500.0,POINT (516500 9365000),6
6,5.683282034247754e-10,9365000.0,517000.0,POINT (517000 9365000),7
7,5.683282034247754e-10,9365000.0,517500.0,POINT (517500 9365000),8
8,2.320402869032974e-09,9365000.0,518000.0,POINT (518000 9365000),9
9,1.9261489580776516e-09,9365000.0,518500.0,POINT (518500 9365000),10
10,1.9261489580776516e-09,9365000.0,519000.0,POINT (519000 9365000),11
11,3.2939395350571743e-09,9365000.0,519500.0,POINT (519500 9365000),12
12,5.250190667438054e-09,9365000.0,520000.0,POINT (520000 9365000),13
13,5.250190667438054e-09,9365000.0,520500.0,POINT (520500 9365000),14
14,2.6912318247299505e-09,9365000.0,521000.0,POINT (521000 9365000),15
15,3.916846995340124e-09,9365000.0,521500.0,POINT (521500 9365000),16
16,3.916846995340124e-09,9365000.0,522000.0,POINT (522000 9365000),17
17,2.0252771575630246e-09,9365000.0,522500.0,POINT (522500 9365000),18
18,2.0057516461587975e-09,9365000.0,523000.0,POINT (523000 9365000),19
19,6.573663901030513e-10,9365000.0,523500.0,POINT (523500 9365000),20
20,0.0,9365000.0,524000.0,POINT (524000 9365000),21
21,1.316165951533212e-07,9365000.0,524500.0,POINT (524500 9365000),22
22,5.5042989851304195e-08,9365000.0,525000.0,POINT (525000 9365000),23
23,4.0744829949891116e-08,9365000.0,525500.0,POINT (525500 9365000),24
24,4.147038946757183e-08,9365000.0,526000.0,POINT (526000 9365000),25
25,2.3526589095385787e-09,9365000.0,526500.0,POINT (526500 9365000),26
26,2.789414838766297e-09,9365000.0,527000.0,POINT (527000 9365000),27
27,3.078381652500719e-09,9365000.0,527500.0,POINT (527500 9365000),28
28,2.3501035266124862e-07,9365000.0,528000.0,POINT (528000 9365000),29
29,2.3475805425411105e-07,9365000.0,528500.0,POINT (528500 9365000),30
30,5.9063649039325466e-08,9365000.0,529000.0,POINT (529000 9365000),31
31,2.68457021541863e-10,9365000.0,529500.0,POINT (529500 9365000),32
32,7.400517424590014e-09,9365000.0,530000.0,POINT (530000 9365000),33
33,8.543474349145816e-09,9365000.0,530500.0,POINT (530500 9365000),34
34,2.3923814326914368e-08,9365000.0,531000.0,POINT (531000 9365000),35
35,6.591243267849027e-08,9365000.0,531500.0,POINT (531500 9365000),36
36,1.2652572237127159e-09,9364500.0,514000.0,POINT (514000 9364500),37
37,1.2652572237127159e-09,9364500.0,514500.0,POINT (514500 9364500),38
38,1.2652572237127159e-09,9364500.0,515000.0,POINT (515000 9364500),39
39,1.2652572237127159e-09,9364500.0,515500.0,POINT (515500 9364500),40
40,1.2652572237127159e-09,9364500.0,516000.0,POINT (516000 9364500),41
41,1.2652572237127159e-09,9364500.0,516500.0,POINT (516500 9364500),42
42,5.683282034247754e-10,9364500.0,517000.0,POINT (517000 9364500),43
43,5.683282034247754e-10,9364500.0,517500.0,POINT (517500 9364500),44
44,2.242300823416066e-09,9364500.0,518000.0,POINT (518000 9364500),45
45,2.1037504021510857e-09,9364500.0,518500.0,POINT (518500 9364500),46
46,1.9261489580776516e-09,9364500.0,519000.0,POINT (519000 9364500),47
47,5.250190667438054e-09,9364500.0,519500.0,POINT (519500 9364500),48
48,7.963152853113556e-09,9364500.0,520000.0,POINT (520000 9364500),49
49,8.814199912964107e-09,9364500.0,520500.0,POINT (520500 9364500),50
50,8.654378906840259e-09,9364500.0,521000.0,POINT (521000 9364500),51
51,8.718398338710867e-09,9364500.0,521500.0,POINT (521500 9364500),52
52,1.351994968208161e-08,9364500.0,522000.0,POINT (522000 9364500),53
53,1.1608854332900285e-08,9364500.0,522500.0,POINT (522500 9364500),54
54,2.0057516461587975e-09,9364500.0,523000.0,POINT (523000 9364500),55
55,3.2162898632522757e-09,9364500.0,523500.0,POINT (523500 9364500),56
56,2.694065388958375e-09,9364500.0,524000.0,POINT (524000 9364500),57
57,1.1173250973083512e-08,9364500.0,524500.0,POINT (524500 9364500),58
58,6.292741829872447e-08,9364500.0,525000.0,POINT (525000 9364500),59
