"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,0.794472,0.314472,36,48,2830,33,48,2749,0.0116608,0,0,0,1
2,0.784783,0.314783,41,47,2830,39,47,2744,0.0137809,0,0,0,1
3,0.784283,0.394283,40,39,2830,39,39,2752,0.0137809,0,0,0,1
4,0.700701,0.310701,39,39,2830,38,39,2753,0.0134276,0,0,0,1
5,0.723504,0.303504,39,42,2830,35,42,2753,0.0123675,0,0,0,1
6,0.720715,0.330715,38,39,2830,36,39,2755,0.0127208,0,0,0,1
7,0.738658,0.308658,40,43,2830,36,43,2751,0.0127208,0,0,0,1
8,0.73508,0.34508,40,39,2830,40,39,2751,0.0141343,0,0,0,1
9,0.82545,0.36545,40,46,2830,36,46,2748,0.0127208,0,0,0,1
10,0.799207,0.349207,41,45,2830,39,45,2746,0.0137809,0,0,0,1
11,0.703469,0.283469,38,42,2830,36,42,2752,0.0127208,0,0,0,1
12,0.73602,0.33602,39,40,2830,36,40,2754,0.0127208,0,0,0,1
13,0.710216,0.270216,39,44,2830,34,44,2752,0.0120141,0,0,0,1
14,0.685769,0.285769,38,40,2830,37,40,2753,0.0130742,0,0,0,1
15,0.757578,0.397578,38,36,2830,38,36,2756,0.0134276,0,0,0,1
16,0.77998,0.29998,41,48,2830,36,48,2746,0.0127208,0,0,0,1
17,0.806031,0.356031,41,45,2830,40,45,2745,0.0141343,0,0,0,1
18,0.804478,0.324478,35,48,2830,31,48,2751,0.0109541,0,0,0,1
19,0.815437,0.305437,38,51,2830,34,51,2745,0.0120141,0,0,0,1
20,0.830945,0.380945,40,45,2830,35,45,2750,0.0123675,0,0,0,1
21,0.703572,0.283572,40,42,2830,39,42,2749,0.0137809,0,0,0,1
22,0.842818,0.344682,38,49,2830,32,49,2749,0.0113074,0.00813533,0.0194444,1,0.998525
23,0.729604,0.339604,40,39,2830,39,39,2752,0.0137809,0,0,0,1
24,0.721104,0.271104,39,45,2830,36,45,2749,0.0127208,0,0,0,1
25,0.752964,0.362964,39,39,2830,38,39,2753,0.0134276,0,0,0,1
