Name,layer,closure,prod_val,shehias,species_c,species_s,seasons,gears,area,perimeter
ndaniya_misali,Jarife kubwa_ndaniyamisali_G1 Jarife_ndaniya misali_G1.kmz,no,4.000,"ndagoni,kilindi,shungi
","tuna like species,tuna,kingfish,marlin,swordfish
","ray,shark,dolphin,turtle",all season,jarife_kubwa,74288229.013671875000000,62759.831224323068454
nje_ya_matumbini_na_misali,Jarife kubwa_njeya matumbini na misali_G2 Jarifekubwa_njeya matumbini na misali_G2.kmz,no,4.000,"wambaa,mizingani
","tuna like species,tuna,kingfish,marlin,swordfish
","dolphin,ray,shark",all seasons,jarife_kubwa,449438697.849121093750000,97428.025499229101115
nje_ya_misali,Jarife kubwa_njeyamisali_G1 Jarife_nje_ya_misali_G1.kmz,no,4.000,"ndagoni,kilindi,shungi
","kambisi,kihalua,mwewe,kubwi,kungu,tuna like species,tuna,kingfish,marlin,swordfish
","turtle,shark,ray,dolphin",all seasons,jarife_kubwa,136749998.644531250000000,57871.407204437797191
dongoni_jarife,Jaraife ndogo_dongoni_G1 Jaraife ndogo_dongoni_G1.kmz,no,4.000,"ndagoni,kilindi,shungi
","common silver biddy,tai,kungu,chelema
","ray,shark,dolphin","north wind
",jarife_ndogo,490677.075683593750000,2670.469453860571775
chokocho,Jarife ndogo_chokocho_G1 Jarife ndogo_chokocho_G1.kmz,no,4.000,"ndagoni,kilindi,shungi
","emperor,rabbitfish,common silver biddy,chelema,micheche,mizila,tille trevally,kambisi,songoro,
","ray,shark,dolphin","north wind
",jarife_ndogo,1381092.205078125000000,4731.941996560376538
dongoni_ndani,Jarife ndogo_dongonindani_G1 Jarife ndogo_dongonindani_G1.kmz,no,4.000,"ndagoni,kilindi,shungi
","common silver biddy,tai,kungu,chelema
","shark,ray,dolphin","north wind
",jarife_ndogo,111574.736816406250000,1357.623499264795100
jambangome,Jarife ndogo_jambangome_G2 Jarifendogo_jambangome_G2.kmz,no,2.000,"wambaa,mizingani
","songoro,rabbitfish,emperor
","ray,dolphin",all seasons,jarife_ndogo,10059318.605957031250000,26853.043990768826916
kilindi,Jarife ndogo_kilindi_G1 Jarife ndogo_kilindi_G1.kmz,no,4.000,"ndagoni,kilindi,shungi
","common silver biddy,tai,kungu,chelema
","dolphin,ray,shark","south wind
",jarife_ndogo,125701.329101562500000,1444.853624098428099
makombeni,Jarife ndogo_makombeni_G1 Jarife ndogo_makombeni_G1.kmz,no,4.000,"ndagoni,kilindi,shungi
","chelema,micheche,emperor,rabbitfish,common sliver biddy
","dolphin,shark,ray","south and north winds
",jarife_ndogo,20163833.565917968750000,16769.220816804619972
mwamba_mkuu_tundaua,Jarife ndogo_mwambamkuutundaua_G1 Jarifendogo_mwambamkuutundaua_G1.kmz,no,2.000,"ndagoni,kilindi,shungi
","common sliver biddy,mikizi,rabbitfish,emperor,chelema
","ray,turtle","south and north winds
",jarife_ndogo,384251.698730468750000,2425.325511681867283
mwamba_mkuu_wesha,Jarife ndogo_mwambamkuuwesha_G1 Jarife ndogo_mwambamkuuwesha_G1.kmz,no,2.000,"ndagoni,kilindi,shungi
","chelema,tille trevally,emperor,rabbitfish
",dolphin,all seasons,jarife_ndogo,176592.959472656250000,2090.563450628470036
rasi_mkumbuu,Jarife ndogo_rasimkumbuukusinikasazini_G1 Jarife ndogo_rasimkumbuukusinikasazini_G1.kmz,no,2.000,"ndagoni,kilindi,shungi
","chelema,mackerel,emperor,rabbitfish,common silver biddy
","ray,dolphin",all seasons,jarife_ndogo,23551625.417968750000000,36542.914855205330241
wambaa,Jarife ndogo_wambaa_G1 Jarife ndogo_wambaa_G1.kmz,no,4.000,"ndagoni,kilindi,shungi
","emperor,rabbitfish,common sliver biddy
","ray,shark","south and north winds
",jarife_ndogo,19985683.570312500000000,16524.114459319564048
mvinjeni,Mishipi_mvinjeni_G1 Mishipi_mvinjeni_G1.kmz,no,3.000,"ndagoni,wesha,kilindi,shungi","ngurwangurwa,tuna,tille trivally,goatfish,tuna like species,kambisi
","shark,ray,turtle",all season,mishipi,5392462.788574218750000,9366.009112921359701
funuafuzi,Mshipi_funuafuzi_G1 Mshipi_funuafuzi_G1.kmz,no,4.000,"ndagoni,wesha,kilindi,shungi","tuna,sardine,emperor,tuna like species,kambisi,pandu,tilletrevally,vibua,anchovy
","shark,ray,turtle,dolphin",all season,mishipi,2728457.931152343750000,6287.134156101027656
kipangani,Mshipi_kipangani_G2 Mshipi_kipangani_G2.kmz,no,3.000,"makombeni,mbuguani,mzingani
","emperor,kungu,viswe,tembo,tazanda
","dolphin,ray,turtle",all season,mishipi,129242.780761718750000,1418.367049832213070
kipwachembamba,Mshipi_kipwachembamba_G2 Mshipi_kipwachembamba_G2.kmz,no,3.000,"makombeni,mbuguani,mzingani
","common silver biddy,tuna,emperor,karambisi,mfimbo,
chekecha","dolphin,turtle,ray",all seasons,mishipi,6811086.149414062500000,10504.966207241137454
kipwakasa,Mshipi_kipwakasa_G2 Mshipi_kipwakasa_G2.kmz,no,3.000,"makombeni,mbuguani,mzingani
","tille trivally,rabbitfish,kambisi,emperor,salehe,tuna,fusilier,nguru,common silver biddy,anchovy
","turtle,dolphin,ray",all seasons,mishipi,1873047.846679687500000,5576.505896120514990
kutoamnara,Mshipi_kutoamnara_G2 Mshipi_kutoamnara_G2.kmz,no,3.000,"makombeni,mbuguani,mzingani
","tuna,karambisi,ngurwa,mfimbo,nguru,tille trevally,emperor
","dolphin,turtle,ray",all seasons,mishipi,3154774.973632812500000,7082.985600722657182
mawepapa,Mshipi_mawepapa_G1 Mshipi_mawepapa_G1.kmz,no,2.000,"ndagoni,wesha,kilindi,shungi","emperer,mwewe,goatfsh,grouper,kivuu
","turtle,dolphin",all season,mishipi,6596389.394531250000000,9734.111271679097626
mwamba_mkuu,Mshipi_mwambamkuu_G1 Mshipi_mwambamkuu_G1.kmz,no,4.000,"ndagoni,wesha,kilindi,shungi","emperor,parrotfish,spinefoot,tembo,pogo, sleek unicorn fish,sengwa
","turtle,dolphin",all season,mishipi,3620513.274902343750000,7159.832547341177815
mwamba_pumbavu,Mshipi_mwambapumbavu_G2 Mshipi_mwambapumbavu_G2.kmz,no,3.000,"makombeni,mbuguani,mzingani
","karambisi,grouper,songoro,chelema,small pelagic,common silver biddy,rabbitfish,mapodo,kolekole,tille trevally
","dolphin,ray",allseasons,mishipi,2156691.472656250000000,5722.278953868303688
nje_ya_kingpji,Mshipi_njeyakingpji_G2 Mshipi_njeyakingpji_G2.kmz,no,3.000,"makombeni,mbuguani,mzingani
","common silver biddy,rabbitfish,emperor,nguru,grouper,fusilier,tille trevally
",turtle,all seasons,mishipi,6981962.265625000000000,12089.671458589147733
wagurube,Mshipi_kwagurube_G1 Mshipi_wagurube_G1.kmz,no,2.000,"ndagoni,wesha,kilindi,shungi","emperor,kungu,eel,kiapanda,mwewe,grouper,surgeonfish,mamejabu,lawatanzi
","turtle,dolphin",all season,mishipi,634993.969238281250000,3198.336812775945873
dongoni_spear,Spear_dongoni_G3 Spear_dongoni_G3.kmz,no,2.000,"chonga,ngelema
","octopus,squid
","dolphin,ray",all seasons,spear,1553613.903320312500000,5196.703714475107518
dongoni_kichanjani,Spear_dongonikichanjani_G1 Spear_dongonikichanjani_G1.kmz,no,2.000,ndagoni,"octopus,squid
","dolphin,turtle,ray",all seasons,spear,5144538.984375000000000,11281.225982304649733
dongoni_mkanga,spear_dongonimkanga_G1 spear_dongonimkanga_G1.kmz,no,3.000,ndagoni,"octopus,squid
","dolphin,ray",all seasons,spear,3688339.669921875000000,9697.203137415141100
mawepacha,Spear_mawepacha_G2 Spear_mawepacha_G2.kmz,yes,2.000,"wambaa,makombeni
","octopus,squid
","turtle,dolphin,ray",all season,spear,1382302.694335937500000,4868.765207064377137
