Name,layer,path,season,closure,shehia,productivi,gears,species_t,species_b,shehias,area,perimeter,prod_avg
ndaniya_misali,Jarife kubwa_ndaniyamisali_G1 Jarife_ndaniya misali_G1.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife kubwa_ndaniyamisali_G1.kmz|layername=Jarifekubwa_ndaniya misali_G1.kmz,all season,no,"ndagoni,kilindi,shungi
",4,jarife_kubwa,"tuna like species,tuna,kingfish,marlin,swordfish
","ray,shark,dolphin,turtle","ndagoni,kilindi,shungi
",74288229.01,62759.83122,4
nje_ya_matumbini_na_misali,Jarife kubwa_njeya matumbini na misali_G2 Jarifekubwa_njeya matumbini na misali_G2.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife kubwa_njeya matumbini na misali_G2.kmz|layername=Jarifekubwa_njeya matumbini na misali_G2.kmz,all seasons,no,"wambaa,mizingani
",4,jarife_kubwa,"tuna like species,tuna,kingfish,marlin,swordfish
","dolphin,ray,shark","wambaa,mizingani
",449438697.8,97428.0255,4
nje_ya_misali,Jarife kubwa_njeyamisali_G1 Jarife_nje_ya_misali_G1.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife kubwa_njeyamisali_G1.kmz|layername=Jarife_nje_ya_misali_G1.kmz,all seasons,no,"ndagoni,kilindi,shungi
",4,jarife_kubwa,"kambisi,kihalua,mwewe,kubwi,kungu,tuna like species,tuna,kingfish,marlin,swordfish
","turtle,shark,ray,dolphin","ndagoni,kilindi,shungi
",136749998.6,57871.4072,4
chokocho,Jarife ndogo_chokocho_G1 Jarife ndogo_chokocho_G1.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife ndogo_chokocho_G1.kmz|layername=Jarife ndogo_chokocho_G1.kmz,"north wind
",no,"ndagoni,kilindi,shungi
",4,jarife_ndogo,"emperor,rabbitfish,common silver biddy,chelema,micheche,mizila,tille trevally,kambisi,songoro,
","ray,shark,dolphin","ndagoni,kilindi,shungi
",1381092.205,4731.941997,4
jambangome,Jarife ndogo_jambangome_G2 Jarifendogo_jambangome_G2.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife ndogo_jambangome_G2.kmz|layername=Jarifendogo_jambangome_G2.kmz,all seasons,no,"wambaa,mizingani
",2,jarife_ndogo,"songoro,rabbitfish,emperor
","ray,dolphin","wambaa,mizingani
",10059318.61,26853.04399,2
kilindi,Jarife ndogo_kilindi_G1 Jarife ndogo_kilindi_G1.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife ndogo_kilindi_G1.kmz|layername=Jarife ndogo_kilindi_G1.kmz,"south wind
",no,"ndagoni,kilindi,shungi
",4,jarife_ndogo,"common silver biddy,tai,kungu,chelema
","dolphin,ray,shark","ndagoni,kilindi,shungi
",125701.3291,1444.853624,4
makombeni,Jarife ndogo_makombeni_G1 Jarife ndogo_makombeni_G1.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife ndogo_makombeni_G1.kmz|layername=Jarife ndogo_makombeni_G1.kmz,"south and north winds
",no,"ndagoni,kilindi,shungi
",4,jarife_ndogo,"chelema,micheche,emperor,rabbitfish,common sliver biddy
","dolphin,shark,ray","ndagoni,kilindi,shungi
",20163833.57,16769.22082,4
mwamba_mkuu_tundaua,Jarife ndogo_mwambamkuutundaua_G1 Jarifendogo_mwambamkuutundaua_G1.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife ndogo_mwambamkuutundaua_G1.kmz|layername=Jarifendogo_mwambamkuutundaua_G1.kmz,"south and north winds
",no,"ndagoni,kilindi,shungi
",2,jarife_ndogo,"common sliver biddy,mikizi,rabbitfish,emperor,chelema
","ray,turtle","ndagoni,kilindi,shungi
",384251.6987,2425.325512,2
mwamba_mkuu_wesha,Jarife ndogo_mwambamkuuwesha_G1 Jarife ndogo_mwambamkuuwesha_G1.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife ndogo_mwambamkuuwesha_G1.kmz|layername=Jarife ndogo_mwambamkuuwesha_G1.kmz,all seasons,no,"ndagoni,kilindi,shungi
",2,jarife_ndogo,"chelema,tille trevally,emperor,rabbitfish
",dolphin,"ndagoni,kilindi,shungi
",176592.9595,2090.563451,2
rasi_mkumbuu,Jarife ndogo_rasimkumbuukusinikasazini_G1 Jarife ndogo_rasimkumbuukusinikasazini_G1.kmz,/Users/jeanmensa/My Drive (jmensa@wcs.org)/WCS Tanzania Marine Program/Data/Pemba/fishery_mapping/fishery_mapping_Pemba/Jarife ndogo_rasimkumbuukusinikasazini_G1.kmz|layername=Jarife ndogo_rasimkumbuukusinikasazini_G1.kmz,all  season,no,"ndagoni,kilindi,shungi
",2,jarife_ndogo,",chelema,mackerel,emperor,rabbitfish,common silver biddy
","ray,dolphin","ndagoni,kilindi,shungi
",23551625.42,36542.91486,2
